Date,Time of Day,Category,Platform,Service Type,Customer Type,Ad Spend,Conversions,Daily Revenue
2024-08-22,Night,Service,In-store,Bread,New,4.45,1,74.38
2024-06-23,Morning,Subscription,Google,Coffee,Returning,71.77,4,409.5
2024-11-27,Morning,Service,Google,Dress,Returning,98.36,0,350.26
2025-01-11,Evening,Subscription,Google,Bread,New,9.27,5,491.61
2025-03-09,Night,Service,In-store,Dress,New,50.72,3,447.17
2025-03-31,Evening,Product,Google,Plumbing,Returning,3.32,4,388.19
2024-09-29,Evening,Product,Instagram,Coffee,Returning,35.74,0,54.73
2025-04-26,Afternoon,Product,Email,Plumbing,New,90.29,0,24.64
2024-12-28,Morning,Service,In-store,Bread,New,59.37,3,94.47
2024-06-16,Morning,Subscription,Email,Bread,Returning,41.93,0,80.94
2025-03-26,Morning,Subscription,Google,Haircut,New,59.41,1,352.16
2025-03-29,Night,Product,Email,Plumbing,New,34.93,3,76.78
2024-11-20,Afternoon,Product,Google,Dress,Returning,32.76,2,231.65
2025-01-23,Morning,Product,Google,Plumbing,New,36.1,4,200.65
2024-12-29,Morning,Product,Email,Haircut,New,19.33,5,172.71
2024-07-01,Afternoon,Product,Instagram,Plumbing,New,11.09,3,434.97
2024-05-31,Evening,Product,Google,Dress,Returning,80.35,2,363.86
2024-12-19,Afternoon,Product,In-store,Haircut,Returning,78.17,5,488.91
2024-05-16,Morning,Subscription,In-store,Plumbing,New,12.45,3,149
2024-11-14,Morning,Product,Email,Bread,New,22.36,5,209.01
2025-01-10,Night,Product,Email,Plumbing,Returning,83.12,3,135.57
2025-04-29,Afternoon,Subscription,In-store,Coffee,Returning,19.96,0,208.92
2025-01-21,Afternoon,Service,In-store,Dress,Returning,79.05,4,356.42
2024-11-25,Night,Service,Instagram,Bread,New,10.17,4,336.52
2024-06-19,Evening,Subscription,Instagram,Bread,Returning,68.5,3,124.92
2024-05-21,Night,Service,Email,Bread,New,57.72,5,412.14
2024-10-07,Night,Product,In-store,Coffee,Returning,44.96,0,446.76
2024-10-14,Evening,Subscription,In-store,Bread,New,24.41,4,402.31
2024-09-27,Evening,Product,Instagram,Haircut,Returning,25.99,0,230.2
2024-09-25,Evening,Subscription,Google,Plumbing,Returning,95.15,5,311.59
2024-12-22,Evening,Service,Email,Bread,Returning,21.62,0,101.18
2024-11-15,Morning,Subscription,Instagram,Bread,Returning,66.16,4,422.96
2025-04-17,Afternoon,Product,Google,Plumbing,New,82.36,2,271.36
2025-03-15,Evening,Product,Google,Bread,New,13.65,4,48.52
2025-02-04,Afternoon,Product,In-store,Dress,Returning,39.49,2,480.36
2025-04-12,Evening,Product,In-store,Dress,Returning,10,1,423.67
2025-04-10,Night,Product,Google,Bread,New,38.18,3,254.75
2025-04-08,Morning,Subscription,Google,Coffee,Returning,13.04,5,221.7
2024-12-21,Morning,Subscription,Email,Plumbing,Returning,1.72,3,134.55
2025-01-25,Morning,Subscription,In-store,Bread,New,77.57,3,410.25
2024-05-03,Morning,Product,Email,Coffee,Returning,25.13,3,237.56
2024-08-31,Morning,Service,In-store,Haircut,Returning,13.76,4,390.13
2024-12-15,Evening,Product,Instagram,Bread,Returning,63.06,5,312.65
2024-12-10,Evening,Subscription,In-store,Bread,Returning,45.74,4,107.29
2025-04-16,Night,Service,Google,Plumbing,New,31.64,3,24.77
2024-06-12,Night,Service,In-store,Coffee,New,69.85,5,152.36
2024-08-04,Morning,Subscription,Email,Dress,New,20.83,2,56.95
2024-06-04,Evening,Service,Google,Plumbing,Returning,47.97,1,52.83
2025-04-06,Afternoon,Subscription,Google,Coffee,New,80.34,2,395.53
2024-09-24,Evening,Service,Email,Haircut,Returning,67.68,1,475.9
2024-10-16,Night,Service,Google,Coffee,Returning,75.42,1,30.18
2024-10-15,Afternoon,Subscription,Email,Coffee,New,73.28,3,207.62
2025-03-19,Morning,Subscription,Google,Coffee,Returning,53.54,4,75.87
2024-11-28,Afternoon,Subscription,Email,Dress,New,43.49,5,274.59
2024-10-06,Evening,Service,Email,Bread,New,78.5,4,44.95
2024-06-04,Afternoon,Subscription,Google,Haircut,New,1.86,4,392.83
2024-12-03,Night,Service,Google,Plumbing,Returning,19.97,4,262.33
2025-05-02,Afternoon,Subscription,In-store,Bread,New,90.84,1,479.65
2024-10-26,Evening,Subscription,In-store,Plumbing,Returning,20.89,5,54.85
2025-04-04,Afternoon,Product,Instagram,Plumbing,Returning,34.99,0,308.2
2024-10-15,Afternoon,Product,In-store,Haircut,New,90.29,4,138.24
2024-05-12,Morning,Product,Email,Dress,Returning,90.16,3,61.81
2024-08-17,Night,Product,Email,Coffee,Returning,84.46,2,124.81
2025-01-16,Night,Service,Instagram,Dress,Returning,89.44,1,39.71
2024-09-07,Evening,Product,Instagram,Haircut,Returning,79.95,0,183.85
2025-04-20,Afternoon,Subscription,Instagram,Coffee,New,23.23,5,474.11
2024-11-06,Evening,Subscription,Google,Bread,Returning,89.36,4,447.22
2025-01-07,Afternoon,Subscription,Google,Coffee,Returning,86.35,2,148.39
2024-12-10,Night,Subscription,Email,Haircut,New,10.64,5,485
2024-08-05,Afternoon,Product,In-store,Haircut,New,5.78,3,82.93
2025-03-19,Night,Subscription,Instagram,Plumbing,Returning,18.14,3,496.91
2024-06-10,Evening,Service,Instagram,Dress,Returning,86.74,2,435.75
2024-12-25,Night,Product,Instagram,Bread,Returning,65.47,0,427.91
2024-12-28,Afternoon,Service,In-store,Dress,Returning,56.87,1,477.47
2025-05-02,Night,Service,Instagram,Bread,Returning,84.16,0,204.27
2024-08-29,Morning,Service,Google,Coffee,New,43.79,5,366.3
2024-11-25,Afternoon,Service,Email,Coffee,Returning,96.86,2,347.72
2024-05-12,Night,Subscription,Instagram,Bread,Returning,7.96,0,281.54
2024-06-29,Afternoon,Product,Google,Haircut,Returning,26.05,5,177.81
2025-02-03,Evening,Subscription,Instagram,Bread,New,4.88,3,238.57
2024-05-28,Afternoon,Service,Email,Dress,Returning,26.18,0,301.99
2024-07-05,Night,Subscription,In-store,Haircut,New,38.31,5,270.72
2024-12-07,Morning,Product,In-store,Coffee,New,32.5,4,240.17
2025-01-19,Evening,Service,Instagram,Haircut,New,38.23,3,25.52
2024-05-10,Evening,Subscription,In-store,Bread,Returning,69.74,3,203.33
2025-04-14,Evening,Product,Email,Dress,Returning,62.31,4,84.96
2024-06-04,Night,Service,In-store,Haircut,Returning,28.71,2,170.59
2024-08-16,Evening,Service,Email,Dress,New,81.36,4,414.52
2024-10-19,Morning,Product,In-store,Bread,New,30.1,2,218.55
2024-12-07,Afternoon,Service,In-store,Plumbing,New,21.71,2,216.33
2025-05-01,Morning,Service,Google,Coffee,Returning,22.17,1,420.33
2024-10-03,Afternoon,Product,Email,Coffee,Returning,28.29,0,280.02
2024-10-20,Evening,Service,Instagram,Bread,New,76.94,1,221.37
2024-08-18,Evening,Subscription,Instagram,Haircut,New,5.97,0,280.84
2024-12-20,Morning,Service,Instagram,Dress,New,65.92,2,382.37
2025-03-22,Afternoon,Service,In-store,Bread,Returning,66.01,1,304.38
2025-04-01,Evening,Subscription,Instagram,Haircut,New,98.66,2,138.68
2025-04-10,Evening,Product,Google,Plumbing,New,94.94,5,450.38
2024-07-21,Night,Product,Instagram,Haircut,New,80.26,1,494.19
2024-07-10,Afternoon,Subscription,In-store,Plumbing,Returning,65.05,3,175.51
2025-02-13,Night,Subscription,Instagram,Bread,New,98.6,3,277.19
2024-07-06,Morning,Product,Email,Haircut,New,60.87,4,440.14
2024-11-12,Night,Product,In-store,Coffee,Returning,45.8,0,235.44
2025-05-02,Morning,Service,Email,Coffee,Returning,11.16,0,371.83
2024-07-10,Evening,Product,Email,Bread,Returning,60.6,2,89.01
2024-07-06,Night,Product,Email,Plumbing,New,32.93,0,332.52
2024-09-05,Night,Product,Email,Plumbing,Returning,99.72,2,404.68
2024-08-27,Night,Subscription,In-store,Haircut,Returning,84.86,1,450.27
2024-09-15,Night,Subscription,In-store,Coffee,Returning,33.65,3,411.28
2024-08-05,Afternoon,Service,Google,Coffee,New,19.33,2,44.83
2024-06-02,Evening,Service,Google,Coffee,Returning,57.72,5,249.5
2025-01-23,Morning,Subscription,In-store,Haircut,Returning,61.29,1,282.12
2025-03-16,Evening,Service,Instagram,Coffee,New,67.23,4,166.86
2024-06-14,Night,Service,In-store,Plumbing,New,57.56,0,164.22
2025-01-07,Morning,Subscription,In-store,Coffee,Returning,50.09,4,407.7
2024-05-14,Morning,Product,Email,Dress,New,67.32,5,87.65
2024-11-12,Night,Product,Google,Dress,Returning,90.52,4,76.55
2024-07-01,Afternoon,Subscription,Google,Haircut,Returning,34.38,5,467.68
2024-07-28,Evening,Service,Instagram,Bread,Returning,8.07,2,335.26
2024-05-08,Night,Service,In-store,Haircut,Returning,1.81,4,196.43
2024-05-26,Night,Subscription,Instagram,Bread,Returning,28.5,1,364.77
2024-09-14,Evening,Service,Instagram,Bread,New,22.86,1,334.44
2025-04-04,Morning,Service,Instagram,Dress,Returning,97.24,0,169.41
2024-06-27,Night,Service,In-store,Coffee,New,87.74,0,140.37
2024-09-08,Night,Service,Google,Plumbing,New,65.92,4,112.49
2025-03-07,Evening,Service,Google,Bread,New,66.9,0,48.3
2024-06-05,Afternoon,Service,Email,Dress,Returning,83.07,4,488.67
2024-06-30,Morning,Service,Email,Coffee,Returning,84.64,1,56.09
2024-05-31,Morning,Subscription,Google,Bread,Returning,7.3,3,282.49
2025-03-01,Afternoon,Subscription,Google,Dress,Returning,15.68,1,432.99
2025-04-14,Morning,Service,Email,Bread,New,93.06,2,473.31
2024-08-08,Morning,Service,Email,Coffee,New,68.83,5,374.88
2024-12-24,Morning,Product,Email,Dress,Returning,88.61,5,36.31
2024-10-19,Evening,Subscription,In-store,Bread,New,38.35,5,110.03
2024-12-05,Evening,Subscription,Instagram,Dress,Returning,93.12,2,188.18
2025-01-18,Evening,Subscription,Google,Plumbing,Returning,97.91,5,424.98
2024-05-19,Night,Service,Google,Bread,Returning,68.03,2,346.56
2025-01-26,Night,Service,In-store,Bread,New,50.39,5,58.18
2024-08-10,Afternoon,Subscription,Instagram,Coffee,New,18.19,1,456.98
2024-09-24,Morning,Service,In-store,Plumbing,Returning,37.22,5,282.3
2024-07-22,Evening,Subscription,Google,Plumbing,New,53.92,0,212.08
2024-11-15,Evening,Service,Email,Dress,New,87.05,3,302.32
2025-01-21,Night,Subscription,Google,Haircut,New,62.1,0,381.14
2024-09-11,Evening,Product,Instagram,Plumbing,Returning,75.1,3,122.75
2024-07-20,Night,Product,Email,Dress,Returning,85.54,3,227.76
2025-02-04,Morning,Subscription,Email,Haircut,New,89.23,4,442.21
2024-10-16,Afternoon,Subscription,Google,Haircut,Returning,60.54,1,475.71
2024-11-14,Afternoon,Product,Instagram,Haircut,New,69.69,1,368.12
2025-03-01,Night,Service,Google,Plumbing,Returning,3.6,1,155.58
2024-11-12,Night,Subscription,Instagram,Coffee,Returning,19.44,4,56.16
2024-09-05,Night,Product,Instagram,Coffee,Returning,4.35,1,442.93
2025-02-07,Morning,Subscription,Instagram,Coffee,New,56.62,1,412.79
2024-09-02,Afternoon,Subscription,Instagram,Dress,New,74.07,5,293.79
2024-07-08,Night,Subscription,In-store,Dress,Returning,81.32,2,194.77
2025-02-08,Evening,Service,Instagram,Bread,Returning,11.56,5,497.09
2025-01-14,Evening,Product,In-store,Bread,Returning,6.64,0,385.52
2024-09-16,Afternoon,Product,Google,Dress,New,90.98,3,246.1
2025-03-20,Evening,Service,Instagram,Haircut,New,69.93,2,441.14
2024-10-08,Afternoon,Product,Email,Dress,Returning,39.28,1,406.75
2024-09-16,Afternoon,Product,In-store,Plumbing,New,79.3,2,470.8
2024-07-20,Afternoon,Service,Instagram,Bread,New,41.06,0,415.91
2025-04-23,Afternoon,Subscription,In-store,Dress,Returning,3.29,4,439.24
2024-10-16,Evening,Service,In-store,Plumbing,New,77.85,3,37.15
2024-08-04,Night,Service,Google,Plumbing,Returning,91.79,1,494.3
2024-11-21,Morning,Subscription,Google,Coffee,New,16.41,0,429.55
2025-01-28,Night,Subscription,In-store,Coffee,Returning,68.4,5,163.14
2024-06-15,Night,Service,In-store,Plumbing,Returning,60.12,2,22.11
2024-11-04,Evening,Product,Google,Haircut,Returning,79.86,1,183.43
2024-11-13,Night,Subscription,Instagram,Bread,New,59.33,4,308.89
2025-04-26,Afternoon,Service,Google,Dress,New,49.71,1,147.42
2024-07-07,Evening,Subscription,In-store,Bread,New,77.35,3,397.69
2024-10-19,Afternoon,Service,In-store,Plumbing,Returning,95.38,3,407.2
2024-11-21,Morning,Service,Google,Plumbing,New,49.9,0,264.69
2025-04-03,Morning,Service,Google,Dress,New,25.82,0,128.19
2024-09-28,Afternoon,Product,In-store,Dress,Returning,23.71,2,148.63
2025-02-12,Morning,Subscription,In-store,Plumbing,New,10.15,4,32.93
2024-11-26,Afternoon,Subscription,In-store,Coffee,New,47.12,0,393.17
2025-02-24,Evening,Product,Instagram,Plumbing,Returning,36.19,3,309.57
2024-06-11,Night,Subscription,In-store,Plumbing,New,48.44,1,312.01
2025-02-11,Night,Product,Instagram,Bread,Returning,64.31,0,382.18
2024-06-15,Night,Service,Instagram,Coffee,Returning,72.11,4,134.32
2024-06-23,Morning,Subscription,Email,Bread,Returning,81.15,4,134.82
2024-06-05,Afternoon,Subscription,Email,Dress,Returning,79.43,1,360.13
2025-03-30,Evening,Service,Google,Plumbing,Returning,9.7,1,62.28
2024-12-06,Afternoon,Subscription,Instagram,Coffee,New,25.08,5,21.02
2024-09-21,Afternoon,Subscription,Google,Plumbing,Returning,55.91,1,188.01
2025-04-04,Morning,Product,Instagram,Coffee,New,42.66,4,409.7
2024-07-22,Afternoon,Service,Instagram,Bread,New,68.01,5,325.42
2025-04-26,Night,Subscription,Google,Plumbing,New,2.41,3,39.36
2024-08-02,Morning,Product,In-store,Bread,New,50.85,3,310.43
2025-01-27,Morning,Service,Instagram,Plumbing,Returning,58.1,2,405.16
2025-02-21,Night,Product,Instagram,Dress,Returning,81.58,4,430.53
2025-03-31,Afternoon,Service,In-store,Haircut,New,14.08,2,376.84
2025-04-28,Morning,Product,Instagram,Coffee,Returning,40.16,4,302.83
2024-07-14,Evening,Service,Email,Coffee,New,63.07,5,245.47
2024-06-03,Afternoon,Product,Google,Dress,New,32.8,4,62.82
2024-07-27,Morning,Subscription,In-store,Coffee,New,67.67,3,211.08
2024-05-05,Morning,Service,Email,Coffee,New,12.58,3,476.15
2024-11-21,Morning,Subscription,Instagram,Plumbing,Returning,60.94,0,315.43
2025-04-09,Afternoon,Subscription,In-store,Bread,New,2.81,0,366.32
2025-01-14,Evening,Service,Email,Dress,New,33.97,5,250.79
2024-12-03,Afternoon,Subscription,Email,Coffee,Returning,44.5,2,484.7
2025-04-04,Evening,Subscription,Google,Bread,New,7.12,0,100.87
2025-04-02,Evening,Subscription,Email,Dress,Returning,44.99,5,172.01
2025-02-20,Morning,Service,Google,Plumbing,Returning,23.32,4,65.99
2024-08-07,Evening,Product,Google,Haircut,New,66.15,3,268.59
2025-03-18,Night,Service,Email,Bread,Returning,17.3,0,357.24
2024-10-24,Night,Product,Email,Plumbing,New,79.02,0,361.48
2024-10-30,Night,Subscription,Email,Coffee,New,74.51,0,246.6
2025-01-20,Night,Subscription,In-store,Haircut,Returning,92.62,0,216.64
2024-06-10,Afternoon,Service,Email,Bread,New,31.99,3,203.28
2025-01-07,Afternoon,Subscription,In-store,Haircut,Returning,77.6,0,250.11
2024-11-05,Morning,Subscription,Google,Haircut,New,82.31,0,481.51
2025-04-15,Morning,Service,Instagram,Plumbing,New,19.16,5,366.53
2024-08-03,Evening,Service,Google,Bread,Returning,86.05,3,487.35
2024-07-07,Afternoon,Service,In-store,Bread,Returning,74.05,0,369.95
2024-07-28,Night,Product,Email,Haircut,Returning,61.61,5,95.8
2024-09-10,Night,Subscription,Email,Bread,New,19.56,5,48.44
2025-04-21,Morning,Service,Email,Bread,New,13.61,2,273.91
2024-05-03,Morning,Subscription,Email,Haircut,New,95.43,4,457.48
2024-11-15,Afternoon,Subscription,Instagram,Plumbing,Returning,34.64,3,283.96
2024-08-31,Morning,Product,Instagram,Haircut,Returning,80.49,3,138.82
2025-02-12,Morning,Product,Email,Plumbing,Returning,33.03,2,197.27
2025-04-22,Evening,Service,Google,Coffee,Returning,89.23,2,140.57
2025-01-07,Afternoon,Subscription,Instagram,Dress,Returning,33.2,4,385.54
2024-06-05,Night,Product,Email,Bread,Returning,57.34,5,143.1
2024-09-06,Night,Subscription,Google,Haircut,New,3.08,1,315.64
2025-04-16,Night,Subscription,Email,Dress,New,5.46,2,274.23
2024-06-12,Evening,Service,In-store,Coffee,Returning,55.55,4,91.55
2025-01-25,Afternoon,Service,Google,Coffee,Returning,28.33,2,422.4
2024-06-08,Morning,Service,Instagram,Dress,New,76.08,2,173.79
2024-07-08,Afternoon,Service,Email,Bread,New,1.85,1,81.51
2024-09-18,Evening,Subscription,In-store,Haircut,Returning,20.14,5,268.06
2025-01-22,Night,Subscription,Google,Haircut,Returning,34.2,0,124.77
2024-11-28,Night,Subscription,Email,Plumbing,Returning,21.67,4,451.96
2024-12-18,Evening,Service,In-store,Bread,Returning,3.32,4,236.26
2025-03-08,Night,Service,In-store,Bread,Returning,11.26,2,137.81
2025-01-01,Afternoon,Service,Email,Bread,New,7.5,0,89.35
2025-03-26,Morning,Subscription,Google,Bread,Returning,27.08,2,308.03
2025-03-11,Morning,Subscription,Instagram,Coffee,New,7.2,0,213.28
2025-02-16,Evening,Service,Email,Dress,Returning,51.54,3,185.32
2025-03-12,Morning,Service,Email,Plumbing,Returning,22.58,3,496.84
2024-11-30,Afternoon,Product,Email,Plumbing,Returning,28.05,0,361.34
2024-09-07,Afternoon,Subscription,Email,Bread,New,16.87,4,307.81
2024-09-23,Afternoon,Service,Google,Coffee,Returning,34.63,3,386.73
2024-09-09,Night,Subscription,Instagram,Bread,New,1.65,3,158.79
2025-01-28,Evening,Service,Instagram,Bread,Returning,46.3,3,331.85
2025-04-27,Morning,Service,In-store,Plumbing,Returning,86.56,1,90.19
2024-09-06,Night,Subscription,Google,Coffee,New,29.49,0,382.65
2024-05-06,Afternoon,Product,Email,Plumbing,New,62.33,2,202.6
2025-04-04,Morning,Product,Email,Plumbing,Returning,77.11,1,31.4
2024-08-10,Morning,Product,In-store,Haircut,New,93.08,0,187.19
2024-06-29,Afternoon,Subscription,Google,Dress,New,1.91,4,346.01
2025-01-03,Morning,Service,In-store,Plumbing,New,67.21,5,347.5
2024-07-20,Morning,Service,Instagram,Plumbing,New,89.01,2,359.07
2024-09-19,Night,Subscription,Email,Dress,Returning,87.31,0,83.45
2025-03-04,Afternoon,Subscription,Google,Haircut,Returning,17.02,3,463.35
2025-02-26,Afternoon,Subscription,Email,Plumbing,New,34.69,3,127.67
2024-08-26,Night,Subscription,Google,Plumbing,New,94.17,4,325.27
2025-01-19,Evening,Subscription,In-store,Haircut,Returning,29.38,5,401.35
2025-01-09,Morning,Subscription,Google,Haircut,Returning,38.09,0,425.3
2025-04-21,Afternoon,Product,Google,Dress,New,59.13,2,157.97
2024-12-22,Morning,Product,Instagram,Plumbing,Returning,21.41,0,160.38
2025-04-17,Night,Subscription,Email,Bread,New,48.44,3,421.62
2024-08-23,Afternoon,Subscription,Google,Bread,Returning,90.62,4,88.32
2025-04-12,Morning,Service,Email,Bread,New,10.65,5,225.89
2024-07-06,Afternoon,Service,Email,Plumbing,New,34.9,3,495.64
2025-01-14,Morning,Subscription,In-store,Bread,Returning,99.18,3,317.12
2024-09-19,Evening,Subscription,Email,Coffee,Returning,69.92,0,77.95
2025-03-10,Afternoon,Subscription,Google,Dress,Returning,39.94,2,354.67
2024-12-19,Afternoon,Service,Google,Bread,New,56.57,3,284.78
2024-10-18,Morning,Product,Email,Coffee,Returning,98.45,4,30.11
2024-10-08,Afternoon,Product,Google,Bread,Returning,99.99,2,67.98
2025-04-07,Morning,Subscription,Google,Haircut,Returning,2.33,5,93.57
2025-03-30,Evening,Subscription,In-store,Bread,Returning,55.79,1,236.3
2025-01-13,Night,Subscription,Google,Bread,New,80.14,4,487.17
2024-10-24,Night,Subscription,Email,Dress,New,37.76,5,212.43
2024-07-06,Evening,Subscription,Email,Haircut,Returning,31.8,0,235.12
2025-02-13,Morning,Service,Google,Haircut,New,14.06,0,73.88
2025-03-02,Night,Subscription,Instagram,Plumbing,Returning,46.3,2,300.52
2024-07-15,Morning,Service,Google,Plumbing,Returning,73.07,3,260.84
2024-06-25,Afternoon,Product,In-store,Bread,New,50.65,1,332.57
2025-02-28,Night,Service,Instagram,Haircut,Returning,94.1,0,457.91
2025-01-22,Evening,Product,Instagram,Bread,New,87.92,2,105.69
2024-10-31,Morning,Service,In-store,Bread,Returning,42.52,2,343.35
2024-09-03,Evening,Product,Google,Haircut,New,32.4,1,487.8
2024-12-03,Evening,Product,Instagram,Dress,Returning,76.72,4,268.92
2024-12-01,Morning,Product,In-store,Bread,New,34.12,0,126.87
2024-07-09,Morning,Subscription,Google,Plumbing,Returning,59.88,0,177.26
2025-02-16,Morning,Product,Email,Coffee,New,5.34,3,66.02
2025-01-04,Morning,Subscription,Google,Haircut,New,56.42,4,425.08
2024-06-09,Night,Subscription,Google,Coffee,New,13.4,4,272.38
2024-09-26,Evening,Service,Email,Haircut,New,42.31,0,267.97
2024-11-16,Afternoon,Subscription,In-store,Haircut,Returning,52.3,3,133.07
2025-02-28,Night,Subscription,Instagram,Dress,New,62.96,4,192.19
2024-10-13,Evening,Service,Email,Plumbing,Returning,82.36,4,417.6
2025-03-31,Evening,Service,In-store,Plumbing,New,52.7,3,318.63
2024-07-14,Morning,Product,In-store,Dress,New,98.89,0,371.15
2024-12-07,Night,Service,In-store,Haircut,New,73.39,3,147.32
2024-11-10,Afternoon,Subscription,Instagram,Coffee,Returning,46.96,5,409.03
2024-06-26,Afternoon,Service,Google,Plumbing,Returning,8.74,1,352.8
2025-01-28,Evening,Service,Instagram,Haircut,New,51.67,1,426.35
2025-03-03,Night,Subscription,In-store,Coffee,Returning,80.61,2,325.69
2024-06-11,Night,Service,In-store,Dress,Returning,17.43,0,441.53
2025-03-08,Afternoon,Service,Google,Haircut,Returning,0.34,0,263.51
2024-05-15,Night,Product,Instagram,Plumbing,Returning,56.64,4,411.1
2024-11-01,Night,Subscription,Email,Bread,New,73.51,2,327.61
2025-02-24,Night,Subscription,Email,Dress,Returning,40.69,5,194.02
2025-02-10,Night,Subscription,Google,Plumbing,New,12.96,3,363.15
2024-09-28,Night,Service,Google,Haircut,New,64.15,0,230.62
2024-09-24,Evening,Product,Instagram,Coffee,Returning,37.34,3,61.17
2025-03-16,Afternoon,Subscription,Instagram,Bread,Returning,40.48,3,74.69
2024-11-24,Afternoon,Product,Google,Dress,New,49.03,4,119.32
2024-07-14,Afternoon,Service,Google,Coffee,New,40.96,5,405.94
2024-06-10,Night,Product,Google,Coffee,Returning,10.32,1,382.14
2025-01-26,Night,Product,Google,Dress,Returning,10.81,4,414.33
2024-12-02,Night,Product,In-store,Haircut,Returning,52.35,5,365.38
2025-02-01,Morning,Subscription,Instagram,Plumbing,Returning,27.74,5,326.67
2024-06-07,Morning,Product,Google,Haircut,Returning,95.65,2,166.91
2024-11-28,Afternoon,Service,Google,Plumbing,New,80.36,0,214.12
2024-07-04,Night,Service,In-store,Bread,Returning,77.12,0,370.76
2024-06-14,Morning,Product,Email,Plumbing,New,32.45,0,152.47
2025-04-19,Evening,Service,Instagram,Bread,Returning,36.7,1,123.95
2024-07-18,Night,Subscription,In-store,Haircut,Returning,49.08,2,433.67
2025-01-09,Night,Service,Instagram,Plumbing,New,62.75,1,231.98
2024-11-27,Evening,Subscription,In-store,Dress,New,53.34,0,159.25
2024-09-06,Morning,Subscription,In-store,Bread,Returning,8.68,2,300.12
2025-03-27,Afternoon,Subscription,Google,Dress,Returning,56.29,2,376.24
2025-03-12,Night,Product,In-store,Coffee,Returning,57.39,3,29.86
2024-08-26,Night,Service,Instagram,Bread,Returning,65.25,5,330.57
2025-01-19,Night,Subscription,Google,Bread,Returning,23.8,5,174.94
2024-08-02,Night,Service,Instagram,Haircut,Returning,45.98,0,290.3
